OrderItemDetailId,OrderItemId,TacoFixinId
1,1,1
2,1,5
3,1,16
4,2,2
5,2,6
6,2,9
7,2,16
8,3,3
9,3,7
10,3,20
11,3,41
12,4,4
13,4,8
14,4,18
15,5,4
16,5,8
17,5,32
18,5,11
19,5,30
20,5,36
21,5,14
22,5,40
23,6,3
24,6,7
25,6,9
26,6,16
27,6,18
28,6,30
29,6,31
30,6,40
31,6,41
32,7,2
33,7,6
34,7,40
35,7,41
36,7,42
37,8,1
38,8,5
39,8,9
40,8,14
41,8,38
42,9,1
43,9,5
44,9,26
45,9,33
46,9,39
47,10,2
48,10,5
49,10,11
50,10,10
51,10,14
52,10,18
53,10,29
54,10,30
55,10,31
56,10,32
57,11,3
58,11,5
59,11,38
60,11,30
61,12,4
62,12,6
63,12,9
64,12,16
65,12,17
66,12,44
67,13,4
68,13,6
69,13,16
70,14,3
71,14,5
72,14,10
73,14,13
74,14,20
75,14,30
76,15,2
77,15,7
78,15,25
79,15,32
80,15,33
81,16,1
82,16,8
83,16,9
84,16,21
85,16,35
86,17,1
87,17,8
88,17,22
89,17,30
90,17,31
91,18,2
92,18,8
93,19,3
94,19,7
95,19,33
96,20,4
97,20,6
98,20,30
99,20,31
100,20,32
101,20,33
102,20,39
103,20,40